trip_id,frame_idx,es_tp,dist_vs_frame_anterior,dist_vs_memoria_conductor_vigente,prob_fisica,velocidad,empty_cabin,persistencia_nueva_identidad,vuelve_al_conductor_anterior_10f,coherencia_candidatos_nuevos
1214291783993100,12,False,1.0068,1.0068038256801601,0.5462,39.0,False,2,True,0.2615114752480182
1214081783979810,41,False,1.0373,0.25542630408676414,0.1553,65.05999755859375,False,19,True,0.31726782840216383
1214351783314390,135,False,1.032,0.9470594838517322,0.326,62.0,False,2,True,0.14134339934588724
1218871784340290,144,False,1.0051,0.8610195284938208,0.9999,80.0,False,10,False,0.4060243449505497
1066131784792040,41,False,1.0219,0.9711943717363392,0.1866,72.0,False,12,False,0.7544210296191247
1065921783997930,73,False,1.0016,0.9344073037454389,0.6386,39.0,False,4,True,0.4441655180477501
1213831784605710,47,False,1.0016,0.9613225582912794,0.193,70.0,False,1,True,
1250401784233680,19,False,1.0291,1.029071218525575,0.667,36.0,False,5,True,0.32028625330030214
1211381783441950,70,False,1.0075,0.9473858691783641,0.7029,33.0,False,1,False,
1211391784588210,29,False,1.0045,0.9178120460105426,0.1534,71.0,False,8,True,0.21961892437500283
1214441784735840,21,False,1.038,1.0029167234041045,0.5035,38.0,False,1,True,
1236141784815020,5,False,1.0012,0.988680336252954,0.8169,25.0,False,1,True,0.6240150450053774
1218881783132360,41,False,1.0016,0.976195506497709,1.0,24.0,False,1,True,
1214351784012230,22,False,1.0212,1.0211993787858957,0.1626,68.0,False,189,False,0.27243901752526106
1214351783314390,137,False,1.0395,0.986876063974009,0.1446,75.0,False,6,True,0.7372166365835741
1214391784246060,92,False,1.019,0.2547005911657806,0.9058,7.0,False,2,True,0.6045653308262264
1052531784340340,44,False,1.0011,0.5636078635903745,0.999,9.0,False,1,False,
1214311782940460,67,False,1.0477,1.044264871376462,0.8837,7.0,False,1,False,
1052511784351490,29,False,1.0199,1.016975621782808,0.6576,39.0,False,1,True,
1052511784310130,72,False,1.0184,0.8970352121499634,1.0,42.0,False,1,True,
1062851783169330,1,False,1.0399,1.039861304870832,1.0,52.0,False,23,False,0.34170775400985515
1250401784035760,60,False,1.0367,0.9021550365666443,1.0,34.439998626708984,False,1,True,
1066131784857290,35,False,1.0017,1.0017402920647323,0.8393,19.0,False,13,False,0.725289009719703
1214311784241840,159,False,1.0252,1.0251601741110612,0.1067,74.0,False,28,False,0.2034800021923346
1214371784607680,380,False,1.0055,0.9780393853740877,0.1589,66.0,False,1,True,
1065681784020290,29,False,1.0191,0.8326233567234234,0.28,58.0,False,5,True,0.12190752528279813
1214431784058300,177,False,1.0002,0.9516640801070929,0.2971,65.0,False,20,False,0.18972895299529102
