trip_id,gt_archivo,gt_timestamp,gt_prev_driver,gt_driver,decision_sistema,matched
1808801776356704,180880_1776386999000_4.jpeg,2026-04-17 00:49:59,Identity_3,Identity_2,POSIBLE_CAMBIO,True
1808801776356704,180880_1776388199000_4.jpeg,2026-04-17 01:09:59,Identity_2,Identity_3,POSIBLE_CAMBIO,True
1808801776936687,180880_1776947281000_4.jpeg,2026-04-23 12:28:01,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1808801776936687,180880_1776958321000_4.jpeg,2026-04-23 15:32:01,Identity_2,Identity_1,POSIBLE_CAMBIO,True
1808801776936687,180880_1776961621000_4.jpeg,2026-04-23 16:27:01,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1823901776450046,182390_1776512099000_4.jpeg,2026-04-18 11:34:59,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1829581775081090,182958_1775119679000_4.jpeg,2026-04-02 08:47:59,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1829661775100421,182966_1775110020000_4.jpeg,2026-04-02 06:07:00,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1829671776299266,182967_1776303000000_4.jpeg,2026-04-16 01:30:00,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1829671776299266,182967_1776338460000_4.jpeg,2026-04-16 11:21:00,Identity_2,Identity_1,POSIBLE_CAMBIO,True
1849501776351238,184950_1776385565000_4.jpeg,2026-04-17 00:26:05,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1849501776351238,184950_1776449808000_4.jpeg,2026-04-17 18:16:48,Identity_2,Identity_6,POSIBLE_CAMBIO,True
1866531776371445,186653_1776376042000_4.jpeg,2026-04-16 21:47:22,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1866531776513285,186653_1776519937000_4.jpeg,2026-04-18 13:45:37,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1866601776657089,186660_1776701729000_4.jpeg,2026-04-20 16:15:29,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1866601776657089,186660_1776709769000_4.jpeg,2026-04-20 18:29:29,Identity_2,Identity_1,POSIBLE_CAMBIO,True
1866611775119512,186661_1775137050000_4.jpeg,2026-04-02 13:37:30,Identity_1,Identity_4,POSIBLE_CAMBIO,True
1867131776405754,186713_1776437316000_4.jpeg,2026-04-17 14:48:36,Identity_2,Identity_3,POSIBLE_CAMBIO,True
1867151775185070,186715_1775232942000_4.jpeg,2026-04-03 16:15:42,Identity_2,Identity_5,POSIBLE_CAMBIO,True
1867391776320623,186739_1776347582000_4.jpeg,2026-04-16 13:53:02,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1888041776316680,188804_1776337376000_4.jpeg,2026-04-16 11:02:56,Identity_2,Identity_1,POSIBLE_CAMBIO,True
