version,trip_id,actual_events,predicted_events,tp_events,fp_events,fn_events,tp_events_tol1,fp_events_tol1,fn_events_tol1,alert_rows,actual_change_rows
v1_main,1867201775293591,8,3,1,2,7,2,1,6,3,8
v1_main,715661775104863,8,3,1,2,7,1,2,7,3,8
v1_main,1820971775041267,8,2,1,1,7,1,1,7,2,8
v1_main,1791341775141544,8,1,1,0,7,1,0,7,1,8
v1_main,712521775197524,6,6,0,6,6,1,5,5,11,6
v1_main,1849501776958518,6,6,0,6,6,0,6,6,9,6
v1_main,1804581776353615,6,6,0,6,6,0,6,6,7,6
v1_main,1593491775098280,6,6,0,6,6,0,6,6,13,6
v1_main,1866471776284137,6,5,0,5,6,0,5,6,7,6
v1_main,1829621775037227,6,5,0,5,6,1,4,5,8,6
v1_main,1866611775119512,9,8,3,5,6,3,5,6,12,9
v1_main,1867391775235817,6,4,0,4,6,0,4,6,5,6
v1_main,711681775085427,8,6,2,4,6,3,3,5,7,8
v1_main,1250361775157420,6,4,0,4,6,0,4,6,5,6
v1_main,1829581775081090,7,5,1,4,6,1,4,6,6,7
v1_main,1618671775021611,6,4,0,4,6,0,4,6,6,6
v1_main,1649021776448461,6,4,0,4,6,1,3,5,5,6
v1_main,716821775367857,8,6,2,4,6,2,4,6,8,8
v1_main,1829681775005592,6,3,0,3,6,0,3,6,3,6
v1_main,1791731775244488,6,3,0,3,6,0,3,6,4,6
v1_main,1507111775186314,6,3,0,3,6,0,3,6,3,6
v1_main,1848421775056295,6,2,0,2,6,0,2,6,3,6
v1_main,1867051775128760,6,2,0,2,6,0,2,6,3,6
v1_main,1264401775100681,6,2,0,2,6,0,2,6,2,6
v1_main,1661621776335075,6,2,0,2,6,0,2,6,2,6
v1_main,1867201776313400,6,2,0,2,6,0,2,6,2,6
v1_main,1649011776302020,6,2,0,2,6,0,2,6,2,6
v1_main,1821221775166354,6,2,0,2,6,0,2,6,3,6
v1_main,1808881776328461,6,2,0,2,6,0,2,6,4,6
v1_main,1719811776620245,6,2,0,2,6,0,2,6,3,6
v1_main,1592541775446049,6,1,0,1,6,0,1,6,1,6
v1_main,1833821775157343,6,1,0,1,6,0,1,6,1,6
v1_main,1793131776315488,6,1,0,1,6,0,1,6,2,6
v1_main,1829631776921471,6,1,0,1,6,0,1,6,1,6
v1_main,1211421775239255,6,0,0,0,6,0,0,6,0,6
v1_main,1867501775095743,6,0,0,0,6,0,0,6,0,6
v1_main,1821061775370598,7,1,1,0,6,1,0,6,2,7
v1_main,717041775224857,6,0,0,0,6,0,0,6,0,6
v1_main,1866701776333527,6,0,0,0,6,0,0,6,0,6
v1_main,1213961776695943,6,0,0,0,6,0,0,6,0,6
v1_main,1808601776572355,6,0,0,0,6,0,0,6,0,6
v1_main,1214401775064153,6,11,1,10,5,2,9,4,17,6
v1_main,1702061775058497,6,11,1,10,5,2,9,4,17,6
v1_main,1263951776395748,6,10,1,9,5,1,9,5,12,6
v1_main,1866731775097484,8,11,3,8,5,4,7,4,18,8
v1_main,1526701775098261,6,8,1,7,5,1,7,5,13,6
v1_main,1648901775015502,6,7,1,6,5,3,4,3,11,6
v1_main,1808481775232413,6,6,1,5,5,1,5,5,11,6
v1_main,1821171775078308,6,6,1,5,5,1,5,5,11,6
v1_main,1582201775041620,6,5,1,4,5,1,4,5,7,6
v1_main,1866471775409751,7,6,2,4,5,3,3,4,10,7
v1_main,716131775294644,6,5,1,4,5,2,3,4,6,6
v1_main,1808801775184559,7,6,2,4,5,3,3,4,10,7
v1_main,1270471775074005,6,5,1,4,5,1,4,5,7,6
v1_main,1236121775769714,6,5,1,4,5,1,4,5,6,6
v1_main,1821041775005781,6,4,1,3,5,1,3,5,5,6
v1_main,1866661775141683,5,3,0,3,5,0,3,5,4,5
v1_main,1867121775058989,6,4,1,3,5,2,2,4,5,6
v1_main,716651775081460,6,3,1,2,5,1,2,5,3,6
v1_main,711601775089573,6,3,1,2,5,1,2,5,4,6
v1_main,1866411775023282,6,3,1,2,5,1,2,5,3,6
